S,P,R,F
1000,0.5974683544303797,0.5974683544303797,0.638700947225981
1,0.610126582278481,0.610126582278481,0.6300653594771243
2,0.6196473551637279,0.6196473551637279,0.6259541984732824
3,0.5944584382871536,0.5944584382871536,0.6178010471204188
4,0.5909090909090909,0.5909090909090909,0.6341463414634148
5,0.6095717884130982,0.6095717884130982,0.6410596026490066
6,0.5935162094763092,0.5935162094763092,0.6246719160104988
7,0.605,0.605,0.6310299869621904
8,0.595360824742268,0.595360824742268,0.6320109439124486
9,0.5754475703324808,0.5754475703324808,0.6224066390041494
10,0.6359102244389028,0.6359102244389028,0.5978898007033997
11,0.5845771144278606,0.5845771144278606,0.6225165562913908
12,0.5904522613065326,0.5904522613065326,0.6041131105398457
13,0.581453634085213,0.581453634085213,0.6170212765957447
14,0.5782828282828283,0.5782828282828283,0.6090425531914894
