S,P,R,F
1000,0.5972602739726027,0.5972602739726027,0.6175637393767707
1000,0.5972602739726027,0.5972602739726027,0.6175637393767707
1,0.6275071633237822,0.6275071633237822,0.6394160583941606
2,0.5897435897435898,0.5897435897435898,0.6339969372128637
3,0.6518105849582173,0.6518105849582173,0.6206896551724139
4,0.6,0.6,0.6367713004484304
5,0.6438746438746439,0.6438746438746439,0.6149659863945578
6,0.5966386554621849,0.5966386554621849,0.6156069364161849
7,0.6218487394957983,0.6218487394957983,0.6235955056179776
8,0.6162464985994398,0.6162464985994398,0.6188466947960619
9,0.6392045454545454,0.6392045454545454,0.635593220338983
10,0.5954415954415955,0.5954415954415955,0.5954415954415955
11,0.6295264623955432,0.6295264623955432,0.6447931526390871
12,0.598314606741573,0.598314606741573,0.6085714285714285
13,0.64,0.64,0.6354609929078013
14,0.6125356125356125,0.6125356125356125,0.6485671191553544
15,0.5722379603399433,0.5722379603399433,0.6130500758725341
16,0.632768361581921,0.632768361581921,0.6283309957924264
17,0.6190476190476191,0.6190476190476191,0.6199158485273493
18,0.6666666666666666,0.6666666666666666,0.6676258992805755
19,0.6045197740112994,0.6045197740112994,0.6088193456614509
20,0.6381766381766382,0.6381766381766382,0.6336633663366338
21,0.6225352112676056,0.6225352112676056,0.6443148688046647
22,0.5977011494252874,0.5977011494252874,0.642967542503864
23,0.6017191977077364,0.6017191977077364,0.6306306306306306
24,0.6281690140845071,0.6281690140845071,0.6177285318559557
25,0.6704225352112676,0.6704225352112676,0.6346666666666666
26,0.6214689265536724,0.6214689265536724,0.6395348837209304
27,0.61731843575419,0.61731843575419,0.6587183308494785
28,0.6573033707865169,0.6573033707865169,0.6223404255319149
29,0.5574229691876751,0.5574229691876751,0.6076335877862595
30,0.6182336182336182,0.6182336182336182,0.6391752577319588
31,0.6111111111111112,0.6111111111111112,0.6119610570236439
