S,P,R,F
1000,0.702513966480447,0.702513966480447,0.7327021121631464
1000,0.702513966480447,0.702513966480447,0.7327021121631464
1,0.7478510028653295,0.7478510028653295,0.7430604982206405
2,0.7478632478632479,0.7478632478632479,0.7537688442211055
3,0.727015558698727,0.727015558698727,0.7514619883040936
4,0.7411095305832148,0.7411095305832148,0.7534345625451917
5,0.7290780141843972,0.7290780141843972,0.7586715867158671
6,0.7177650429799427,0.7177650429799427,0.7303206997084548
7,0.7352112676056338,0.7352112676056338,0.7393767705382437
8,0.7258522727272727,0.7258522727272727,0.7400434467776973
9,0.7304964539007093,0.7304964539007093,0.7556859867938371
10,0.7588152327221439,0.7588152327221439,0.7359781121751027
11,0.7363896848137536,0.7363896848137536,0.7470930232558138
12,0.7172995780590717,0.7172995780590717,0.7380607814761216
